name,number_votes,share_votes,district,affiliation
Krizsán Klára,114,0.19 %,Szeged,KÖZÖS NEVEZŐ
Pose Rozalinda,1224,2.0 %,Szeged,MKKP
Kozma János,46,0.09 %,Tiszaújváros,MEDETE PÁRT
Kozma-Tóth Zsanett,25,0.05 %,Tiszaújváros,ÖSSZEFOGÁS PÁRT
Herczeg Orsolya,60,0.12 %,Tiszaújváros,SZEM PÁRT
Dányi Zoltán,28,0.05 %,Tiszaújváros,KÖSSZ
Kindák Zoltán,29,0.06 %,Tiszaújváros,NP
Irhás György,26,0.05 %,Tiszaújváros,MISZEP
Pacsuta Márk,133,0.26 %,Tiszaújváros,CSP
Kiss János,42,0.08 %,Tiszaújváros,REND PÁRT
Pap Zsolt,7757,14.9 %,Tiszaújváros,MSZP-PÁRBESZÉD
Dr. Jakab Rita,107,0.21 %,Tiszaújváros,MIÉP
Ádám Zoltán,49,0.09 %,Tiszaújváros,KÖZÖS NEVEZŐ
Dr. Tarnai Gábor,1182,2.27 %,Tiszaújváros,LMP
Balázs Erik,25,0.05 %,Tiszaújváros,JÓ ÚT MPP
Sóváriné Bukta Erika,122,0.23 %,Tiszaújváros,DEMOKRATA PÁRT
Mogyorósi Anikó,95,0.18 %,Tiszaújváros,SEM
Biró László,16469,31.64 %,Tiszaújváros,JOBBIK
Szukenyik Klaudia,41,0.08 %,Tiszaújváros,SZP
Koncz Ferenc,25662,49.3 %,Tiszaújváros,FIDESZ-KDNP
Rontó Oszkárné,158,0.3 %,Tiszaújváros,MCP
Moczó Csilla,30,0.06 %,Kazincbarcika,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
Laczkó Lászlóné,109,0.22 %,Kazincbarcika,FKGP
Kótai Natália Ágnes,59,0.12 %,Kazincbarcika,MISZEP
Kiss Mihály,20,0.04 %,Kazincbarcika,TAMP
Kriston Zoltán,32,0.07 %,Kazincbarcika,MEDETE PÁRT
Ragályi János,26,0.05 %,Kazincbarcika,REND PÁRT
Győri Gyula,359,0.73 %,Kazincbarcika,MOMENTUM
Kulin Beáta,25,0.05 %,Kazincbarcika,IRÁNYTŰ
Dr. Rigó István,248,0.51 %,Kazincbarcika,DMP
Grespik Larisza,120,0.24 %,Kazincbarcika,DEMOKRATA PÁRT
Kardos Mihály,272,0.56 %,Kazincbarcika,MUNKÁSPÁRT
Gúr Nándor,8458,17.27 %,Kazincbarcika,MSZP-PÁRBESZÉD
Üveges Gábor,1649,3.37 %,Kazincbarcika,LMP
Szegőné Kiss Tímea,0,0.0 %,Kazincbarcika,EMMO
Demeter Zoltán,21905,44.72 %,Kazincbarcika,FIDESZ-KDNP
Molnár Mária,151,0.31 %,Kazincbarcika,CSP
Nagy Eleonóra,21,0.04 %,Kazincbarcika,ERP
Forray Zsolt,68,0.14 %,Kazincbarcika,SEM
Horváth Tamás,15,0.03 %,Kazincbarcika,JÓ ÚT MPP
Horváth Henrietta,25,0.05 %,Kazincbarcika,NEMZET ÉS BÉKE
Elek Zsófia,111,0.23 %,Kazincbarcika,EGYÜTT
Ortó Gyula,25,0.05 %,Kazincbarcika,ÖSSZEFOGÁS PÁRT
Lukács Attila,24,0.05 %,Kazincbarcika,ÉRTÜNK ÉRTETEK
Glonczi Anita,252,0.51 %,Kazincbarcika,MCP
Cseh Tibor,75,0.15 %,Kazincbarcika,MIÉP
Rácz-Baranyai Julianna,31,0.06 %,Kazincbarcika,KÖZÖS NEVEZŐ
Galyas Renáta,43,0.09 %,Kazincbarcika,KÖSSZ
Egyed Zsolt,14779,30.17 %,Kazincbarcika,JOBBIK
Vizi Janka Erika,10,0.02 %,Kazincbarcika,ÚMF
Zsoldos Zsolt József,44,0.09 %,Kazincbarcika,SZEM PÁRT
Kaiserné Soós Bernadett,50,0.1 %,Mezőkövesd,ÖSSZEFOGÁS PÁRT
Tállai András,28718,54.79 %,Mezőkövesd,FIDESZ-KDNP
Nagy Richárd,76,0.14 %,Mezőkövesd,SZEM PÁRT
Bial József,36,0.07 %,Mezőkövesd,REND PÁRT
Fritsch Ferencné,24,0.05 %,Mezőkövesd,KEDN
Dr. Szücs Lajos,201,0.38 %,Mezőkövesd,MUNKÁSPÁRT
Tokár Andrásné,63,0.12 %,Mezőkövesd,KÖZÖS NEVEZŐ
Farkas István,11,0.02 %,Mezőkövesd,ERP
Lakatos István,18,0.03 %,Mezőkövesd,SZP
Száraz Istvánné,17,0.03 %,Mezőkövesd,MISZEP
Kormos Anna,4390,8.38 %,Mezőkövesd,MSZP-PÁRBESZÉD
Kovács Péter,17,0.03 %,Mezőkövesd,TAMP
Szilágyi Sándor,102,0.19 %,Mezőkövesd,MIÉP
Sebők Alexandra,14,0.03 %,Mezőkövesd,EMMO
Nyerges József,6,0.01 %,Mezőkövesd,HAZA MINDENKIÉ
Ambrus Gyöngyi,1771,3.38 %,Mezőkövesd,LMP
Ládi István,96,0.18 %,Mezőkövesd,MCP
Bruncz Piroska,17,0.03 %,Mezőkövesd,NP
Katona Anett,25,0.05 %,Mezőkövesd,MEDETE PÁRT
Lukács Attila,16389,31.27 %,Mezőkövesd,JOBBIK
Kiss Tamás,126,0.24 %,Mezőkövesd,EGYÜTT
Ambrusné Salap Szilvia,113,0.22 %,Mezőkövesd,Független jelölt
Juhász Pál,137,0.26 %,Mezőkövesd,CSP
Bartók Csaba,21019,35.65 %,Szeged,FIDESZ-KDNP
Kozák Dávid,61,0.1 %,Szeged,MCP
Bodrog Zoltán,2560,4.34 %,Szeged,LMP
Király Renáta,64,0.11 %,Szeged,KÖSSZ
Kovács Zsófia,305,0.52 %,Szeged,CSP
Kovácsné Pácsa Tünde,45,0.08 %,Szeged,ÖSSZEFOGÁS PÁRT
Mihálik Edvin,1015,1.72 %,Szeged,MOMENTUM
Tóth Péter,6501,11.03 %,Szeged,JOBBIK
Pál Anna,1525,2.59 %,Szeged,MKKP
Ottlakán Péter,73,0.12 %,Szeged,SZEM PÁRT
Szabó Sándor,25748,43.67 %,Szeged,MSZP-PÁRBESZÉD
Nyári-Nagy Ildikó,44,0.07 %,Szeged,ÉRTÜNK ÉRTETEK
Bakos Klaudia,22,0.05 %,Ózd,ÖSSZEFOGÁS PÁRT
Skultéty Roland,0,0.0 %,Ózd,HAM
Kónya Béla,488,1.14 %,Ózd,MUNKÁSPÁRT
Káló János,34,0.08 %,Ózd,KÖSSZ
Horváth Marcell,39,0.09 %,Ózd,SZEM PÁRT
Gyuricska István,94,0.22 %,Ózd,SEM
Lázi Attila,74,0.17 %,Ózd,ERP
Imriné Pál Jusztina,11,0.03 %,Ózd,NEMZET ÉS BÉKE
Ádám Krisztián,47,0.11 %,Ózd,MEDETE PÁRT
Kissné Eőry Mária,11,0.03 %,Ózd,NP
Ribárszki Anna,34,0.08 %,Ózd,REND PÁRT
Káló Zsoltné,0,0.0 %,Ózd,EMMO
Koleszár István,1170,2.73 %,Ózd,LMP
Báder József,147,0.34 %,Ózd,EGYÜTT
Jaskó Dániel,18,0.04 %,Ózd,KEDN
Kovács József,449,1.05 %,Ózd,MOMENTUM
Kissunyi István,60,0.14 %,Ózd,MIÉP
Gunia Nikoletta,0,0.0 %,Ózd,OP
Varga Gergő,3441,8.03 %,Ózd,DK
Riz Gábor,20623,48.1 %,Ózd,FIDESZ-KDNP
Farkas Péter Barnabás,15744,36.72 %,Ózd,JOBBIK
Gulyásné Gulyás Beáta,23,0.05 %,Ózd,LENDÜLETTEL
Lakatos László Leon,75,0.17 %,Ózd,CSP
Kovács Sándor Ottó,49,0.11 %,Ózd,A HAZA PÁRTJA
Molnár Sándor,18,0.04 %,Ózd,ÉBMP
Harkály Zsolt,34,0.08 %,Ózd,TAMP
Beri Csaba,76,0.18 %,Ózd,EU.ROM
Dányi Alex,38,0.09 %,Ózd,MISZEP
Harkály Csaba,19,0.04 %,Ózd,JÓ ÚT MPP
Kovács Ágnes,37,0.09 %,Ózd,KÖZÖS NEVEZŐ
Aradi Dániel,0,0.0 %,Ózd,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
Nótár Zoltán,87,0.18 %,Sátoraljaújhely,MISZEP
Pataky Klaudia,41,0.09 %,Sátoraljaújhely,SEM
Mihály Viktória,32,0.07 %,Sátoraljaújhely,MEDETE PÁRT
Horváth Jenő,62,0.13 %,Sátoraljaújhely,EU.ROM
Szemán Miklós,17,0.04 %,Sátoraljaújhely,EMMO
Dancsó János Tamás,67,0.14 %,Sátoraljaújhely,IMA
Balogh Marianna,22,0.05 %,Sátoraljaújhely,ERP
Melegh Károly,212,0.44 %,Sátoraljaújhely,FKGP
Zádori Péter,73,0.15 %,Sátoraljaújhely,TENNI AKARÁS MOZGALOM
Pencz András Soma,229,0.48 %,Sátoraljaújhely,MOMENTUM
Köteles László,6219,12.95 %,Sátoraljaújhely,LMP
Galyas Dorina,75,0.16 %,Sátoraljaújhely,KÖSSZ
Székely Ferenc,132,0.27 %,Sátoraljaújhely,MIÉP
Kindrusz-Zsiros Viktória,56,0.12 %,Sátoraljaújhely,CSP
Balázsné Horváth Szandra,6,0.01 %,Sátoraljaújhely,JÓ ÚT MPP
Dr. Hörcsik Richárd,23544,49.03 %,Sátoraljaújhely,FIDESZ-KDNP
Mikola Gergely,14064,29.29 %,Sátoraljaújhely,JOBBIK
Horváth Dániel,24,0.05 %,Sátoraljaújhely,NEMZET ÉS BÉKE
Ulicsni Bianka,0,0.0 %,Sátoraljaújhely,KPP
Budai Gábor Zoltán,361,0.75 %,Sátoraljaújhely,MCP
Beke Tibor,31,0.06 %,Sátoraljaújhely,SZEM PÁRT
Horváth Dezső,110,0.23 %,Sátoraljaújhely,MUNKÁSPÁRT
Győrfi Zoltán,20,0.04 %,Sátoraljaújhely,FITIP
Taksásné Nagy Zsuzsanna,39,0.08 %,Sátoraljaújhely,KÖZÖS NEVEZŐ
Juhász László,19,0.04 %,Sátoraljaújhely,ÖSSZEFOGÁS PÁRT
Szabó Mihály,128,0.27 %,Sátoraljaújhely,EGYÜTT
Zaveczki Tibor,2306,4.8 %,Sátoraljaújhely,DK
Horváth András,35,0.07 %,Sátoraljaújhely,IRÁNYTŰ
Galyas Róbert,13,0.03 %,Sátoraljaújhely,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
Pakusza Zoltán,14427,28.25 %,Miskolc,JOBBIK
Fodor Viktória Éva,59,0.12 %,Miskolc,SZEM PÁRT
Dányiné Lakatos Zsanett,39,0.08 %,Miskolc,MISZEP
Dudás Norbert,667,1.31 %,Miskolc,MOMENTUM
Doszpoly Botond László,0,0.0 %,Miskolc,LMP
Cseh László,367,0.72 %,Miskolc,Független jelölt
Botos Ferenc,104,0.2 %,Miskolc,MCP
Kovács Imre József,23,0.05 %,Miskolc,IRÁNYTŰ
Bendik Tamás,98,0.19 %,Miskolc,MIÉP
Bari Andrásné,10,0.02 %,Miskolc,LENDÜLETTEL
Dányi Józsefné,16,0.03 %,Miskolc,EMMO
Kormos Károly János,27,0.05 %,Miskolc,SZP
Ignácz Csaba,172,0.34 %,Miskolc,CSP
Lakatos Krisztián,5,0.01 %,Miskolc,ERP
Fülöp József Istvánné,189,0.37 %,Miskolc,MUNKÁSPÁRT
Hubay György,19434,38.06 %,Miskolc,FIDESZ-KDNP
Fekete Márk,63,0.12 %,Miskolc,KÖZÖS NEVEZŐ
Kovács Marcell,11,0.02 %,Miskolc,NEMZET ÉS BÉKE
Galyas Nikoletta,34,0.07 %,Miskolc,KÖSSZ
Kemény Anikó,37,0.07 %,Miskolc,EU.ROM
Szakos Zoltán,11,0.02 %,Miskolc,ÖSSZEFOGÁS PÁRT
Dr. Varga László,15274,29.91 %,Miskolc,MSZP-PÁRBESZÉD
Gál Ferenc,361,0.73 %,Orosháza,MUNKÁSPÁRT
Csurár János,28,0.06 %,Orosháza,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
Sebők Éva,526,1.06 %,Orosháza,MOMENTUM
Nagyné Kovács Marianna,23,0.05 %,Orosháza,IRÁNYTŰ
Nagy Alíz,18,0.04 %,Orosháza,EU.ROM
Faragó Zoltán,89,0.18 %,Orosháza,DEMOKRATA PÁRT
Bátori Tibor Győzőné,32,0.06 %,Orosháza,REND PÁRT
Palkó Noémi,115,0.23 %,Orosháza,SEM
Csurár József,14,0.03 %,Orosháza,JÓ ÚT MPP
Kálmándi Nándor,13,0.03 %,Orosháza,NP
Hegedűs Rebeka,31,0.06 %,Orosháza,MEDETE PÁRT
Németh Sándor,1081,2.19 %,Orosháza,LMP
Bod Tamás,542,1.1 %,Orosháza,EGYÜTT
Dr. Turcsán Zsolt Attila,35,0.07 %,Orosháza,KPP
Kecskeméti Zsuzsanna,160,0.32 %,Orosháza,Független jelölt
Kovács Magdolna,0,0.0 %,Orosháza,MODERN MAGYARORSZÁG MOZGALOM (MOMA)
Simonka György,21312,43.15 %,Orosháza,FIDESZ-KDNP
Turó Zsigmond Jenő,70,0.14 %,Orosháza,SZEM PÁRT
Szendrei Szilvia,0,0.0 %,Orosháza,HAJRÁ MAGYARORSZÁG!
Seres Róbert,38,0.08 %,Orosháza,TENNI AKARÁS MOZGALOM
Németh Norbert,71,0.14 %,Orosháza,FITIP
Balogh Menyhértné,29,0.06 %,Orosháza,KÖSSZ
Bodóczki Imre,74,0.15 %,Orosháza,MIÉP
Dr. Szabó Ervin,19510,39.5 %,Orosháza,JOBBIK
Füvesi Sándor,5107,10.34 %,Orosháza,MSZP-PÁRBESZÉD
Faragó Lajos,25,0.05 %,Orosháza,MCP
Mezei Roland Mihály,0,0.0 %,Orosháza,FKGP
Tóth Zoltánné,70,0.14 %,Orosháza,A HAZA PÁRTJA
Rácz Erika,21,0.04 %,Orosháza,ÖSSZEFOGÁS PÁRT
Szabó Attila,45,0.09 %,Békéscsaba,TENNI AKARÁS MOZGALOM
Almási István,890,1.8 %,Békéscsaba,MOMENTUM
Frülich Nóra,163,0.33 %,Békéscsaba,SEM
Kovács Katalin Ildikó,2610,5.27 %,Békéscsaba,LMP
Szegedi Éva,252,0.51 %,Békéscsaba,CSP
Megyeri Kitti,45,0.09 %,Békéscsaba,MEDETE PÁRT
Lakatos Erika,37,0.07 %,Békéscsaba,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
Sarvak Robert,68,0.14 %,Békéscsaba,MIÉP
Szegedi Zoltán,98,0.2 %,Békéscsaba,SZEM PÁRT
Faragó Anett,231,0.47 %,Békéscsaba,Független jelölt
Babinszki Péter,848,1.71 %,Békéscsaba,MKKP
Serbné Dobi Katalin Erzsébet,0,0.0 %,Békéscsaba,HAJRÁ MAGYARORSZÁG!
Juhász István Richárd,47,0.09 %,Békéscsaba,ÖSSZEFOGÁS PÁRT
Zsibrita András,89,0.18 %,Békéscsaba,A HAZA PÁRTJA
Herczeg Tamás,22133,44.7 %,Békéscsaba,FIDESZ-KDNP
Kocziha Tünde,16366,33.06 %,Békéscsaba,JOBBIK
Kovács Sabrina,13,0.03 %,Békéscsaba,JÓ ÚT MPP
Csurár Ibolya,115,0.23 %,Békéscsaba,Független jelölt
Nagy-Huszein Tibor,5461,11.03 %,Békéscsaba,DK
Kalapos Mária,179,0.41 %,Baja,MUNKÁSPÁRT
Tumó György,0,0.0 %,Baja,FKGP
Zsemberiné Katona Margit Erika,46,0.11 %,Baja,KÖSSZ
Hajdú Miklós,7880,18.0 %,Baja,MSZP-PÁRBESZÉD
Béni Kornél,728,1.66 %,Baja,MOMENTUM
Kurucz Nikolett,0,0.0 %,Baja,MISZEP
Zsigó Róbert,23835,54.45 %,Baja,FIDESZ-KDNP
Grünfelder Zoltán,8203,18.74 %,Baja,JOBBIK
Mányoki Réka,71,0.16 %,Baja,SEM
Antal Krisztián,24,0.05 %,Baja,NEMZET ÉS BÉKE
Dinókné Kőrös Anita,15,0.03 %,Baja,ÖSSZEFOGÁS PÁRT
Ikotity István,2557,5.84 %,Baja,LMP
Sánta Olivér,30,0.07 %,Baja,TENNI AKARÁS MOZGALOM
Almási Terézia,209,0.48 %,Baja,CSP
Tóth István Zoltánné,56,0.12 %,Békés,KÖZÖS NEVEZŐ
Oláhné Seres Timea Mária,133,0.29 %,Békés,DEMOKRATA PÁRT
Husvéth Gabriella,41,0.09 %,Békés,KÖSSZ
Csömör Ágostonné,36,0.08 %,Békés,MEDETE PÁRT
Lakatos Erika,64,0.14 %,Békés,SZEM PÁRT
Rádai Alex,22,0.05 %,Békés,JÓ ÚT MPP
Csuta Éva,120,0.26 %,Békés,SEM
Bencsik Mihály,2550,5.47 %,Békés,LMP
Dankó Béla,24247,52.0 %,Békés,FIDESZ-KDNP
Rádai Éva,25,0.05 %,Békés,EU.ROM
Jónás Zoltánné,24,0.05 %,Békés,SZP
Babinszki Bence,678,1.45 %,Békés,MOMENTUM
Balogh Mónika,20,0.04 %,Békés,TENNI AKARÁS MOZGALOM
Gombos Jenő,85,0.18 %,Békés,A HAZA PÁRTJA
Béres József,42,0.09 %,Békés,REND PÁRT
Dr. Kondé Gábor,4039,8.66 %,Békés,DK
Mezei Éva,31,0.07 %,Békés,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
Bátori Tilla Beáta,17,0.04 %,Békés,NP
Szilágyi Renáta,0,0.0 %,Békés,HAJRÁ MAGYARORSZÁG!
Mezei Tibor,28,0.06 %,Békés,IMA
Fábián Csaba János,12,0.03 %,Békés,HAZA MINDENKIÉ
Fábián Kata Ildikó,149,0.32 %,Békés,CSP
Sarvak-Iván Ildikó,88,0.19 %,Békés,MIÉP
Ásós Tibor,315,0.68 %,Békés,MCP
Rádai Jenőné,34,0.07 %,Békés,IRÁNYTŰ
Pereiné Vékony Ilona,26,0.06 %,Békés,ÖSSZEFOGÁS PÁRT
Farkas Rebeka,20,0.04 %,Békés,OCP
Balogh Sándor,15,0.03 %,Békés,NEMZET ÉS BÉKE
Samu Tamás Gergő,13707,29.39 %,Békés,JOBBIK
Kerekes Anikó,8,0.02 %,Békés,ECDP
Góbis József Tamás,15,0.03 %,Miskolc,EMMO
Vargáné Papp Judit,24,0.05 %,Miskolc,HHP
Kovács László,57,0.11 %,Miskolc,MEDETE PÁRT
Oláh Benjámin,0,0.0 %,Miskolc,LENDÜLETTEL
Szitai Béláné,4,0.01 %,Miskolc,KEDN
Gönczi Pál,17,0.03 %,Miskolc,NP
Tóth György István,94,0.18 %,Miskolc,MCP
Simon László,97,0.18 %,Miskolc,ÖSSZEFOGÁS PÁRT
Dr. Debreczeni József,6151,11.56 %,Miskolc,DK
Munkácsi Miklós Gábor,41,0.08 %,Miskolc,KÖZÖS NEVEZŐ
Csöbör Katalin,20724,38.96 %,Miskolc,FIDESZ-KDNP
Miczi Róbert,26,0.05 %,Miskolc,KÖSSZ
Szopkó Tibor,576,1.08 %,Miskolc,MOMENTUM
Orosz Imre Tibor,286,0.54 %,Miskolc,MUNKÁSPÁRT
Fodor Zoltán,2167,4.07 %,Miskolc,Független jelölt
Gulyás Ferenc,39,0.07 %,Miskolc,EU.ROM
Jakab Péter,20597,38.72 %,Miskolc,JOBBIK
Király Zsolt Ferenc,32,0.06 %,Miskolc,ÉRTÜNK ÉRTETEK
Molnár Péter,239,0.45 %,Miskolc,Független jelölt
Pacsuta Istvánné,158,0.3 %,Miskolc,CSP
Vágó Norbert,77,0.14 %,Miskolc,MIÉP
Török Enikő,7,0.01 %,Miskolc,ERP
Horváth Amanda,35,0.07 %,Miskolc,SZEM PÁRT
Csoma László,1671,3.14 %,Miskolc,LMP
Pusztai Gergő,22,0.04 %,Miskolc,HAZA MINDENKIÉ
Hallgató László,39,0.07 %,Miskolc,REND PÁRT
Vojtela Enikő,23,0.05 %,Gyula,NP
Szabó László,1740,3.79 %,Gyula,LMP
Rostás Benjámin,77,0.17 %,Gyula,SZEM PÁRT
Oláh Zsolt,149,0.32 %,Gyula,DEMOKRATA PÁRT
Buza Márk,28,0.06 %,Gyula,MEDETE PÁRT
Nagy Zoltán,725,1.58 %,Gyula,MOMENTUM
Fábián Tibor,28,0.06 %,Gyula,HAZA MINDENKIÉ
Rádai Cristopher,15,0.03 %,Gyula,IRÁNYTŰ
Ficz Gyula,63,0.14 %,Gyula,MCP
Molnár Kitti,50,0.11 %,Gyula,EU.ROM
Tóth Róbert Tamás,0,0.0 %,Gyula,HAJRÁ MAGYARORSZÁG!
Süveges Bernadett,44,0.1 %,Gyula,SZP
Vasas Mónika,31,0.07 %,Gyula,ÖSSZEFOGÁS PÁRT
Pluhár László,8508,18.55 %,Gyula,MSZP-PÁRBESZÉD
Jakab Ildikó,23,0.05 %,Gyula,JÓ ÚT MPP
Nagy Norbert,39,0.09 %,Gyula,KÖSSZ
Dr. Dévényi-Dabrowsky Géza,10612,23.13 %,Gyula,JOBBIK
Kásler Árpád,331,0.72 %,Gyula,A HAZA PÁRTJA
Jakab Evelin,22,0.05 %,Gyula,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
Kis Mónika,193,0.42 %,Gyula,CSP
Dr. Kovács József,23135,50.43 %,Gyula,FIDESZ-KDNP
Balogh Krisztián,36,0.08 %,Gyula,TENNI AKARÁS MOZGALOM
Csatlós Gábor,95,0.21 %,Kalocsa,SZEM PÁRT
Lakatos Ferenc,24,0.05 %,Kalocsa,TENNI AKARÁS MOZGALOM
Suhajda Krisztián,13915,30.2 %,Kalocsa,JOBBIK
Dr. Angeli Gabriella,5127,11.13 %,Kalocsa,MSZP-PÁRBESZÉD
Környei Balázs,580,1.26 %,Kalocsa,MOMENTUM
Kerpács Rezső,1261,2.74 %,Kalocsa,LMP
Rostás Attila,39,0.08 %,Kalocsa,EU.ROM
Jakab László József,27,0.06 %,Kalocsa,ÖSSZEFOGÁS PÁRT
Kőrös Gusztáv Tibor,40,0.09 %,Kalocsa,MISZEP
Font Sándor,24519,53.22 %,Kalocsa,FIDESZ-KDNP
Nyutali Norbert,143,0.31 %,Kalocsa,SEM
Jakab Gáborné,34,0.07 %,Kalocsa,KEDN
Tóth Tibor,218,0.47 %,Kalocsa,Független jelölt
Kárpáti Róbert,47,0.1 %,Kalocsa,KÖSSZ
Csernus Viktorné,238,0.47 %,Kecskemét,MUNKÁSPÁRT
Radics Tivadar,10001,19.76 %,Kecskemét,JOBBIK
Vidám Mária,299,0.59 %,Kecskemét,SEM
Dr. Zombor Gábor,26695,52.74 %,Kecskemét,FIDESZ-KDNP
Király József,8421,16.64 %,Kecskemét,MSZP-PÁRBESZÉD
Bodrozsán Alexandra,1532,3.03 %,Kecskemét,MOMENTUM
Dr. Tóth Szilárd,3426,6.77 %,Kecskemét,LMP
Tukora Gábor,125,0.23 %,Pécs,MODERN MAGYARORSZÁG MOZGALOM (MOMA)
Bogolin Csaba,144,0.27 %,Pécs,MIÉP
Berkecz Balázs,1277,2.39 %,Pécs,EGYÜTT
Martos Csongor,1015,1.9 %,Pécs,MKKP
Dr. Hoppál Péter,21471,40.11 %,Pécs,FIDESZ-KDNP
Vasvári Ametiszt Rita,327,0.61 %,Pécs,CSP
Nagy Ferenc,11160,20.85 %,Pécs,DK
Lovasné Parczen Gabriella,85,0.16 %,Pécs,A HAZA PÁRTJA
Körömi Attila,1039,1.94 %,Pécs,MOMENTUM
Rajczi Klára,50,0.09 %,Pécs,KÖSSZ
Hohn Krisztina,4899,9.15 %,Pécs,LMP
Gyimesi Gábor,11858,22.15 %,Pécs,JOBBIK
Kulcsár Jánosné,75,0.14 %,Pécs,ÖSSZEFOGÁS PÁRT
Hotz Antal,1220,2.02 %,Budapest XXII. kerület,MKKP
Molnár Gyula,24983,41.45 %,Budapest XXII. kerület,MSZP-PÁRBESZÉD
Dr. Hajdu Nóra,0,0.0 %,Budapest XXII. kerület,EGYÜTT
Németh Zsolt,24144,40.06 %,Budapest XXII. kerület,FIDESZ-KDNP
Szeibert Márton,145,0.24 %,Budapest XXII. kerület,AQP
Pitz Dániel,2556,4.24 %,Budapest XXII. kerület,LMP
Orosz Anna,1703,2.83 %,Budapest XXII. kerület,MOMENTUM
Dr. Staudt Gábor,5525,9.17 %,Budapest XXII. kerület,JOBBIK
Brem László,338,0.72 %,Kecskemét,SEM
Dr. Károlyi Zoltán,234,0.5 %,Kecskemét,MODERN MAGYARORSZÁG MOZGALOM (MOMA)
Iváncsó Anikó,0,0.0 %,Kecskemét,OP
Lejer Zoltán,11231,24.0 %,Kecskemét,JOBBIK
Szőkéné Kopping Rita,3595,7.68 %,Kecskemét,DK
Tormási György,134,0.29 %,Kecskemét,MIÉP
Szarvas Koppány Bendegúz,1105,2.36 %,Kecskemét,MOMENTUM
Dr. Salacz László,25519,54.53 %,Kecskemét,FIDESZ-KDNP
Vágó Gábor,4642,9.92 %,Kecskemét,LMP
Fogarasi Gábor,7887,14.08 %,Pécs,JOBBIK
Dr. Keresztes László Lóránt,3059,5.46 %,Pécs,LMP
Szeghy Mária,139,0.25 %,Pécs,A HAZA PÁRTJA
Bauer János,137,0.24 %,Pécs,MIÉP
Csizi Péter,20702,36.97 %,Pécs,FIDESZ-KDNP
Nagy Richárd,976,1.74 %,Pécs,MKKP
Dr. Mellár Tamás,21988,39.26 %,Pécs,Független jelölt
Varga Dávid,104,0.19 %,Pécs,SZEM PÁRT
Nemes Balázs,1011,1.81 %,Pécs,MOMENTUM
Bereczki Miklós,8673,15.58 %,Budapest XXI. kerület,JOBBIK
Bokor Sándor,99,0.18 %,Budapest XXI. kerület,EU.ROM
Soós Réka Anna,112,0.2 %,Budapest XXI. kerület,SZEM PÁRT
Andrásfai-Szerencse Ödön,101,0.18 %,Budapest XXI. kerület,MIÉP
Nagy-Kovács Géza,0,0.0 %,Budapest XXI. kerület,EMMO
Németh Szilárd István,20653,37.09 %,Budapest XXI. kerület,FIDESZ-KDNP
Dr. Tenk András,0,0.0 %,Budapest XXI. kerület,LMP
Csaja Józsefné,39,0.07 %,Budapest XXI. kerület,REND PÁRT
Palczert Alexandra Petra,317,0.57 %,Budapest XXI. kerület,CSP
Soltész Szilvia Nikolett,1374,2.47 %,Budapest XXI. kerület,MKKP
Sztojka Ferenc,41,0.07 %,Budapest XXI. kerület,MISZEP
Bossányi Edina,49,0.09 %,Budapest XXI. kerület,MEDETE PÁRT
Szalai Imre,21,0.04 %,Budapest XXI. kerület,NP
Kállai József,66,0.12 %,Budapest XXI. kerület,KÖSSZ
Grubicska Kitti,0,0.0 %,Budapest XXI. kerület,HAM
Dukán András Ferenc,0,0.0 %,Budapest XXI. kerület,MOMENTUM
Dr. Szabó Szabolcs,23637,42.45 %,Budapest XXI. kerület,EGYÜTT
Kovács Enikő,40,0.07 %,Budapest XXI. kerület,IRÁNYTŰ
Wolf József,303,0.54 %,Budapest XXI. kerület,MUNKÁSPÁRT
Tóthné Király Beáta,38,0.07 %,Budapest XXI. kerület,ÖSSZEFOGÁS PÁRT
Grubicska Gyuláné,0,0.0 %,Budapest XXI. kerület,SEM
Honti-Majoros Ildikó,118,0.21 %,Budapest XXI. kerület,KÖZÖS NEVEZŐ
Bangóné Borbély Ildikó,0,0.0 %,Budapest XXI. kerület,MSZP-PÁRBESZÉD
Dr. Hargitai János,27603,57.62 %,Mohács,FIDESZ-KDNP
Kóródiné Sárközi Rita,134,0.28 %,Mohács,MCP
Prim Géza,165,0.34 %,Mohács,FKGP
Orsós Erzsébet,65,0.14 %,Mohács,MEDETE PÁRT
Bosnyák András,3345,6.98 %,Mohács,LMP
Antal-Haszonics Hajnalka,84,0.18 %,Mohács,ÖSSZEFOGÁS PÁRT
Lukács János,4262,8.9 %,Mohács,DK
Szőcs Norbert,11359,23.71 %,Mohács,JOBBIK
Buzgó Krisztina,64,0.13 %,Mohács,HHP
Lakatos Csaba,228,0.48 %,Mohács,CSP
Szaksz Adrienn Zsanett,213,0.44 %,Mohács,SEM
Mihálovics Ibolya,0,0.0 %,Mohács,IMA
